dataset,seq_len,pred_len,model,norm,alpha,seed,MSE,MAE,RMSE,MAPE,MSPE,dish_init,scaled,prior,features,timestamp
ETTm2,336,336,Autoformer,dishts,0.5,2024,18.52893,2.80573,4.30452,10547418.0,5087274000000000.0,avg,False,paper-phi-only,M,20260615_192832
ETTm2,336,336,Autoformer,dishts,0.5,2025,18.2366,2.78234,4.27043,10133269.0,4422775000000000.0,avg,False,paper-phi-only,M,20260615_195250
ETTm2,96,336,Autoformer,dishts,1.0,2025,17.8509,2.73068,4.22503,10709185.0,4987061000000000.0,avg,False,paper,M,20260615_210336
ETTm2,96,336,Autoformer,dishts,0.0,2025,17.07585,2.59554,4.13229,12171248.0,6029678300000000.0,avg,False,legacy,M,20260615_212107
ETTm2,96,336,Autoformer,dishts,0.1,2025,18.37717,2.72658,4.28686,12460735.0,6390186600000000.0,avg,False,legacy,M,20260615_215118
ETTm2,96,336,Autoformer,dishts,0.25,2025,19.47116,2.87958,4.41261,11120180.0,5368995000000000.0,avg,False,legacy,M,20260615_220851
ETTm2,96,336,Autoformer,dishts,0.5,2025,22.49028,3.27615,4.74239,10573871.0,5096275600000000.0,avg,False,legacy,M,20260615_222626
ETTm2,96,336,Autoformer,dishts,0.75,2025,22.98953,3.43742,4.79474,10723842.0,5161453300000000.0,avg,False,legacy,M,20260615_224605
ETTm2,96,336,Autoformer,dishts,1.0,2025,23.73996,3.51744,4.87237,9530857.0,4397589400000000.0,avg,False,legacy,M,20260615_230335
ECL,96,24,Autoformer,dishts,0.0,2023,3725435.0,241.54182,1930.1385,130825460.0,2.2771693e+20,avg,False,paper,M,20260615_230924
ECL,96,24,Autoformer,dishts,0.1,2023,4759486.0,264.8363,2181.6245,136499540.0,2.2394737e+20,avg,False,paper,M,20260615_231322
ECL,96,24,Autoformer,dishts,0.25,2023,4168991.0,250.52904,2041.8107,136779250.0,2.1304099e+20,avg,False,paper,M,20260615_232005
ECL,96,24,Autoformer,dishts,0.5,2023,3795061.0,248.21922,1948.0917,136721180.0,2.058742e+20,avg,False,paper,M,20260615_232459
ECL,96,24,Autoformer,dishts,0.75,2023,4925241.5,263.1099,2219.2886,139330240.0,2.139623e+20,avg,False,paper,M,20260615_233124
ECL,96,96,Autoformer,dishts,0.0,2023,6111627.0,279.79727,2472.1707,151912270.0,2.8445557e+20,avg,False,paper-phi-only,M,20260616_080750
ECL,96,96,Autoformer,dishts,0.0,2024,6775148.5,300.25504,2602.9116,160569500.0,2.9317088e+20,avg,False,paper-phi-only,M,20260616_081236
ECL,96,96,Autoformer,dishts,0.0,2025,5911572.0,276.4097,2431.3726,154586420.0,2.756933e+20,avg,False,paper-phi-only,M,20260616_082025
ECL,96,96,Autoformer,dishts,0.25,2023,7080556.5,307.3027,2660.9314,155320820.0,2.9674908e+20,avg,False,paper-phi-only,M,20260616_082442
ECL,96,96,Autoformer,dishts,0.25,2024,7048981.5,298.28085,2654.9917,158850500.0,2.825045e+20,avg,False,paper-phi-only,M,20260616_083045
ECL,96,96,Autoformer,dishts,0.0,2023,6093228.5,285.481,2468.4465,156458960.0,2.8792199e+20,avg,False,paper-phi-only,M,20260616_084129
ECL,96,96,Autoformer,dishts,0.0,2024,6775148.5,300.25504,2602.9116,160569500.0,2.9317088e+20,avg,False,paper-phi-only,M,20260616_084427
ECL,96,96,Autoformer,dishts,0.0,2025,5911572.0,276.4097,2431.3726,154586420.0,2.756933e+20,avg,False,paper-phi-only,M,20260616_085030
ECL,96,96,Autoformer,dishts,0.25,2023,7080556.5,307.3027,2660.9314,155320820.0,2.9674908e+20,avg,False,paper-phi-only,M,20260616_085304
ECL,96,96,Autoformer,dishts,0.25,2024,7048981.5,298.28085,2654.9917,158850500.0,2.825045e+20,avg,False,paper-phi-only,M,20260616_085722
ECL,96,96,Autoformer,dishts,0.25,2025,7365927.0,327.66522,2714.0244,148700370.0,2.8780989e+20,avg,False,paper-phi-only,M,20260616_090113
ECL,96,96,Autoformer,dishts,0.5,2023,6616773.0,291.61395,2572.3088,152099680.0,2.8708592e+20,avg,False,paper-phi-only,M,20260616_090529
ECL,96,96,Autoformer,dishts,0.5,2024,6475867.0,289.02814,2544.7725,154210770.0,2.8839201e+20,avg,False,paper-phi-only,M,20260616_090945
ECL,96,96,Autoformer,dishts,0.5,2025,6147043.5,280.36383,2479.3232,149486510.0,2.839692e+20,avg,False,paper-phi-only,M,20260616_091431
ECL,96,96,Autoformer,dishts,0.75,2023,5897016.0,285.3537,2428.3772,151361170.0,2.8402023e+20,avg,False,paper-phi-only,M,20260616_091849
ECL,96,96,Autoformer,dishts,0.75,2024,6978180.0,314.21838,2641.6245,160436600.0,2.9174621e+20,avg,False,paper-phi-only,M,20260616_092123
ECL,96,96,Autoformer,dishts,0.75,2025,7111165.0,313.52826,2666.6768,152273900.0,2.9486606e+20,avg,False,paper-phi-only,M,20260616_092449
ECL,96,96,Autoformer,dishts,1.0,2023,6177785.0,305.90216,2485.5151,155439680.0,2.8185868e+20,avg,False,paper-phi-only,M,20260616_092906
ECL,96,96,Autoformer,dishts,1.0,2024,6426118.5,292.72467,2534.979,153598530.0,2.8644347e+20,avg,False,paper-phi-only,M,20260616_093232
ECL,96,96,Autoformer,dishts,1.0,2025,6752167.5,302.57208,2598.4934,151971900.0,2.9559362e+20,avg,False,paper-phi-only,M,20260616_093809
ECL,168,168,Autoformer,dishts,0.0,2023,7015198.0,282.96954,2648.6218,140996930.0,2.6584075e+20,avg,False,paper-phi-only,M,20260616_094943
